"","Source.Label","Target.Label","Subject","SentDate","SentTime","Source","Target","MainSubject"
"1","Varja Lagos","Hennie Osvaldo","patrol schedule changes",2014-01-06,"10:28",45,48,"Work related"
"2","Varja Lagos","Loreto Bodrogi","patrol schedule changes",2014-01-06,"10:28",45,52,"Work related"
"3","Varja Lagos","Inga Ferro","patrol schedule changes",2014-01-06,"10:28",45,54,"Work related"
"4","Brand Tempestad","Birgitta Frente","wellhead flow rate data",2014-01-06,"10:35",13,17,"Work related"
"5","Brand Tempestad","Lars Azada","wellhead flow rate data",2014-01-06,"10:35",13,14,"Work related"
"6","Brand Tempestad","Felix Balas","wellhead flow rate data",2014-01-06,"10:35",13,15,"Work related"
"7","Isak Baza","Lucas Alcazar","re: gt-seismicprocessorpro bug report",2014-01-06,"10:43",41,40,"Work related"
"8","Lucas Alcazar","Isak Baza","re: gt-seismicprocessorpro bug report",2014-01-06,"10:50",40,41,"Work related"
"9","Linnea Bergen","Rachel Pantanal","re: upcoming birthdays",2014-01-06,"11:00",39,3,"Non-work related"
"10","Linnea Bergen","Lars Azada","re: upcoming birthdays",2014-01-06,"11:00",39,14,"Non-work related"
"11","Linnea Bergen","Felix Balas","re: upcoming birthdays",2014-01-06,"11:00",39,15,"Non-work related"
"12","Linnea Bergen","Isande Borrasca","re: upcoming birthdays",2014-01-06,"11:00",39,9,"Non-work related"
"13","Linnea Bergen","Axel Calzas","re: upcoming birthdays",2014-01-06,"11:00",39,10,"Non-work related"
"14","Linnea Bergen","Gustav Cazar","re: upcoming birthdays",2014-01-06,"11:00",39,19,"Non-work related"
"15","Linnea Bergen","Lidelse Dedos","re: upcoming birthdays",2014-01-06,"11:00",39,16,"Non-work related"
"16","Linnea Bergen","Birgitta Frente","re: upcoming birthdays",2014-01-06,"11:00",39,17,"Non-work related"
"17","Linnea Bergen","Vira Frente","re: upcoming birthdays",2014-01-06,"11:00",39,20,"Non-work related"
"18","Linnea Bergen","Adra Nubarron","re: upcoming birthdays",2014-01-06,"11:00",39,18,"Non-work related"
"19","Linnea Bergen","Marin Onda","re: upcoming birthdays",2014-01-06,"11:00",39,8,"Non-work related"
"20","Linnea Bergen","Kare Orilla","re: upcoming birthdays",2014-01-06,"11:00",39,11,"Non-work related"
"21","Linnea Bergen","Elsa Orilla","re: upcoming birthdays",2014-01-06,"11:00",39,12,"Non-work related"
"22","Linnea Bergen","Brand Tempestad","re: upcoming birthdays",2014-01-06,"11:00",39,13,"Non-work related"
"23","Linnea Bergen","Ingrid Barranco","re: upcoming birthdays",2014-01-06,"11:00",39,23,"Non-work related"
"24","Linnea Bergen","Ada Campo-Corrente","re: upcoming birthdays",2014-01-06,"11:00",39,24,"Non-work related"
"25","Linnea Bergen","Sten Sanjorge Jr ","re: upcoming birthdays",2014-01-06,"11:00",39,22,"Non-work related"
"26","Linnea Bergen","Orhan Strum","re: upcoming birthdays",2014-01-06,"11:00",39,25,"Non-work related"
"27","Linnea Bergen","Willem Vasco-Pais","re: upcoming birthdays",2014-01-06,"11:00",39,21,"Non-work related"
"28","Linnea Bergen","Bertrand Ovan","re: upcoming birthdays",2014-01-06,"11:00",39,26,"Non-work related"
"29","Linnea Bergen","Albina Hafon","re: upcoming birthdays",2014-01-06,"11:00",39,30,"Non-work related"
"30","Linnea Bergen","Benito Hawelon","re: upcoming birthdays",2014-01-06,"11:00",39,31,"Non-work related"
"31","Linnea Bergen","Claudio Hawelon","re: upcoming birthdays",2014-01-06,"11:00",39,32,"Non-work related"
"32","Linnea Bergen","Henk Mies","re: upcoming birthdays",2014-01-06,"11:00",39,33,"Non-work related"
"33","Linnea Bergen","Valeria Morlun","re: upcoming birthdays",2014-01-06,"11:00",39,34,"Non-work related"
"34","Linnea Bergen","Adan Morlun","re: upcoming birthdays",2014-01-06,"11:00",39,35,"Non-work related"
"35","Linnea Bergen","Cecilia Morluniau","re: upcoming birthdays",2014-01-06,"11:00",39,36,"Non-work related"
"36","Linnea Bergen","Irene Nant","re: upcoming birthdays",2014-01-06,"11:00",39,37,"Non-work related"
"37","Linnea Bergen","Dylan Scozzese","re: upcoming birthdays",2014-01-06,"11:00",39,38,"Non-work related"
"38","Linnea Bergen","Lucas Alcazar","re: upcoming birthdays",2014-01-06,"11:00",39,40,"Non-work related"
"39","Linnea Bergen","Isak Baza","re: upcoming birthdays",2014-01-06,"11:00",39,41,"Non-work related"
"40","Linnea Bergen","Nils Calixto","re: upcoming birthdays",2014-01-06,"11:00",39,42,"Non-work related"
"41","Linnea Bergen","Sven Flecha","re: upcoming birthdays",2014-01-06,"11:00",39,43,"Non-work related"
"42","Linnea Bergen","Hideki Cocinaro","re: upcoming birthdays",2014-01-06,"11:00",39,53,"Non-work related"
"43","Linnea Bergen","Inga Ferro","re: upcoming birthdays",2014-01-06,"11:00",39,54,"Non-work related"
"44","Linnea Bergen","Loreto Bodrogi","re: upcoming birthdays",2014-01-06,"11:00",39,52,"Non-work related"
"45","Linnea Bergen","Isia Vann","re: upcoming birthdays",2014-01-06,"11:00",39,49,"Non-work related"
"46","Linnea Bergen","Stenig Fusil","re: upcoming birthdays",2014-01-06,"11:00",39,46,"Non-work related"
"47","Linnea Bergen","Hennie Osvaldo","re: upcoming birthdays",2014-01-06,"11:00",39,48,"Non-work related"
"48","Linnea Bergen","Kanon Herrero","re: upcoming birthdays",2014-01-06,"11:00",39,44,"Non-work related"
"49","Linnea Bergen","Varja Lagos","re: upcoming birthdays",2014-01-06,"11:00",39,45,"Non-work related"
"50","Linnea Bergen","Minke Mies","re: upcoming birthdays",2014-01-06,"11:00",39,47,"Non-work related"
"51","Linnea Bergen","Felix Resumir","re: upcoming birthdays",2014-01-06,"11:00",39,51,"Non-work related"
"52","Linnea Bergen","Edvard Vann","re: upcoming birthdays",2014-01-06,"11:00",39,50,"Non-work related"
"53","Linnea Bergen","Emile Arpa","re: upcoming birthdays",2014-01-06,"11:00",39,27,"Non-work related"
"54","Linnea Bergen","Varro Awelon","re: upcoming birthdays",2014-01-06,"11:00",39,28,"Non-work related"
"55","Linnea Bergen","Mat Bramar","re: upcoming birthdays",2014-01-06,"11:00",39,1,"Non-work related"
"56","Linnea Bergen","Dante Coginian","re: upcoming birthdays",2014-01-06,"11:00",39,29,"Non-work related"
"57","Linnea Bergen","Carla Forluniau","re: upcoming birthdays",2014-01-06,"11:00",39,6,"Non-work related"
"58","Linnea Bergen","Linda Lagos","re: upcoming birthdays",2014-01-06,"11:00",39,4,"Non-work related"
"59","Linnea Bergen","Cornelia Lais","re: upcoming birthdays",2014-01-06,"11:00",39,7,"Non-work related"
"60","Linnea Bergen","Ruscella Mies Haber","re: upcoming birthdays",2014-01-06,"11:00",39,5,"Non-work related"
"61","Linnea Bergen","Anda Ribera","re: upcoming birthdays",2014-01-06,"11:00",39,2,"Non-work related"
"62","Loreto Bodrogi","Ingrid Barranco","plants",2014-01-06,"11:04",52,23,"Non-work related"
"63","Linnea Bergen","Rachel Pantanal","re: upcoming birthdays",2014-01-06,"11:16",39,3,"Non-work related"
"64","Linnea Bergen","Lars Azada","re: upcoming birthdays",2014-01-06,"11:16",39,14,"Non-work related"
"65","Linnea Bergen","Felix Balas","re: upcoming birthdays",2014-01-06,"11:16",39,15,"Non-work related"
"66","Linnea Bergen","Isande Borrasca","re: upcoming birthdays",2014-01-06,"11:16",39,9,"Non-work related"
"67","Linnea Bergen","Axel Calzas","re: upcoming birthdays",2014-01-06,"11:16",39,10,"Non-work related"
"68","Linnea Bergen","Gustav Cazar","re: upcoming birthdays",2014-01-06,"11:16",39,19,"Non-work related"
"69","Linnea Bergen","Lidelse Dedos","re: upcoming birthdays",2014-01-06,"11:16",39,16,"Non-work related"
"70","Linnea Bergen","Birgitta Frente","re: upcoming birthdays",2014-01-06,"11:16",39,17,"Non-work related"
"71","Linnea Bergen","Vira Frente","re: upcoming birthdays",2014-01-06,"11:16",39,20,"Non-work related"
"72","Linnea Bergen","Adra Nubarron","re: upcoming birthdays",2014-01-06,"11:16",39,18,"Non-work related"
"73","Linnea Bergen","Marin Onda","re: upcoming birthdays",2014-01-06,"11:16",39,8,"Non-work related"
"74","Linnea Bergen","Kare Orilla","re: upcoming birthdays",2014-01-06,"11:16",39,11,"Non-work related"
"75","Linnea Bergen","Elsa Orilla","re: upcoming birthdays",2014-01-06,"11:16",39,12,"Non-work related"
"76","Linnea Bergen","Brand Tempestad","re: upcoming birthdays",2014-01-06,"11:16",39,13,"Non-work related"
"77","Linnea Bergen","Ingrid Barranco","re: upcoming birthdays",2014-01-06,"11:16",39,23,"Non-work related"
"78","Linnea Bergen","Ada Campo-Corrente","re: upcoming birthdays",2014-01-06,"11:16",39,24,"Non-work related"
"79","Linnea Bergen","Sten Sanjorge Jr ","re: upcoming birthdays",2014-01-06,"11:16",39,22,"Non-work related"
"80","Linnea Bergen","Orhan Strum","re: upcoming birthdays",2014-01-06,"11:16",39,25,"Non-work related"
"81","Linnea Bergen","Willem Vasco-Pais","re: upcoming birthdays",2014-01-06,"11:16",39,21,"Non-work related"
"82","Linnea Bergen","Bertrand Ovan","re: upcoming birthdays",2014-01-06,"11:16",39,26,"Non-work related"
"83","Linnea Bergen","Albina Hafon","re: upcoming birthdays",2014-01-06,"11:16",39,30,"Non-work related"
"84","Linnea Bergen","Benito Hawelon","re: upcoming birthdays",2014-01-06,"11:16",39,31,"Non-work related"
"85","Linnea Bergen","Claudio Hawelon","re: upcoming birthdays",2014-01-06,"11:16",39,32,"Non-work related"
"86","Linnea Bergen","Henk Mies","re: upcoming birthdays",2014-01-06,"11:16",39,33,"Non-work related"
"87","Linnea Bergen","Valeria Morlun","re: upcoming birthdays",2014-01-06,"11:16",39,34,"Non-work related"
"88","Linnea Bergen","Adan Morlun","re: upcoming birthdays",2014-01-06,"11:16",39,35,"Non-work related"
"89","Linnea Bergen","Cecilia Morluniau","re: upcoming birthdays",2014-01-06,"11:16",39,36,"Non-work related"
"90","Linnea Bergen","Irene Nant","re: upcoming birthdays",2014-01-06,"11:16",39,37,"Non-work related"
"91","Linnea Bergen","Dylan Scozzese","re: upcoming birthdays",2014-01-06,"11:16",39,38,"Non-work related"
"92","Linnea Bergen","Lucas Alcazar","re: upcoming birthdays",2014-01-06,"11:16",39,40,"Non-work related"
"93","Linnea Bergen","Isak Baza","re: upcoming birthdays",2014-01-06,"11:16",39,41,"Non-work related"
"94","Linnea Bergen","Nils Calixto","re: upcoming birthdays",2014-01-06,"11:16",39,42,"Non-work related"
"95","Linnea Bergen","Sven Flecha","re: upcoming birthdays",2014-01-06,"11:16",39,43,"Non-work related"
"96","Linnea Bergen","Hideki Cocinaro","re: upcoming birthdays",2014-01-06,"11:16",39,53,"Non-work related"
"97","Linnea Bergen","Inga Ferro","re: upcoming birthdays",2014-01-06,"11:16",39,54,"Non-work related"
"98","Linnea Bergen","Loreto Bodrogi","re: upcoming birthdays",2014-01-06,"11:16",39,52,"Non-work related"
"99","Linnea Bergen","Isia Vann","re: upcoming birthdays",2014-01-06,"11:16",39,49,"Non-work related"
"100","Linnea Bergen","Stenig Fusil","re: upcoming birthdays",2014-01-06,"11:16",39,46,"Non-work related"
"101","Linnea Bergen","Hennie Osvaldo","re: upcoming birthdays",2014-01-06,"11:16",39,48,"Non-work related"
"102","Linnea Bergen","Kanon Herrero","re: upcoming birthdays",2014-01-06,"11:16",39,44,"Non-work related"
"103","Linnea Bergen","Varja Lagos","re: upcoming birthdays",2014-01-06,"11:16",39,45,"Non-work related"
"104","Linnea Bergen","Minke Mies","re: upcoming birthdays",2014-01-06,"11:16",39,47,"Non-work related"
"105","Linnea Bergen","Felix Resumir","re: upcoming birthdays",2014-01-06,"11:16",39,51,"Non-work related"
